YYYYMM,Value,Description,Unit
198411,109759.28,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198412,113600.9,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198501,129092.471,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198502,112036.83,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198503,111390.703,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198504,104790.423,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198505,111514.668,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198506,115583.004,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198507,128880.144,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198508,126549.659,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198509,114630.253,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198510,111053.345,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198511,108814.643,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198512,127791.979,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198601,130189.924,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198602,110982.428,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198603,110389.796,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198604,98995.106,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198605,104900.302,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198606,120153.987,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198607,136653.936,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198608,123617.62,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198609,113957.353,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198610,108583.774,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198611,109045.451,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198612,118361.775,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198701,126630.512,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198702,109647.934,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198703,111920.394,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198704,105474.356,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198705,115155.284,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198706,129350.599,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198707,143502.911,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198708,143194.312,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198709,120777.103,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198710,117742.848,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198711,114171.65,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198712,126213.387,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198801,137845.293,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198802,126267.376,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198803,120033.644,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198804,109135.472,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198805,115195.008,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198806,132267.995,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198807,144301.353,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198808,152376.525,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198809,124409.811,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198810,121339.387,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198811,121053.811,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198812,136427.1,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198901,137733.369,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198902,129611.076,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198903,129192.832,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198904,117867.309,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198905,121495.442,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198906,131163.721,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198907,141189.218,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198908,144610.455,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198909,129399.231,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198910,124912.222,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
198911,126816.531,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
